"dataset","type","access","source","provider","experiment","frequency","endpoint","dictionary"
"AEMET-5KM-regular_Iberia_day","observations","opendap","AEMET-5KM-regular","","","day","https://hub.climate4r.ifca.es/thredds/dodsC/pti-clima/ncmls/OBSERVATIONS/AEMET-5KM-regular/Iberia/day/AEMET-5KM-regular_Iberia_day.ncml","../../Harmonization_dictionaries/AEMET-5KM-regular.dic"
"CHELSA-W5E5v1.0_Canarias_day","observations","opendap","CHELSA-W5E5v1.0","","","day","https://hub.climate4r.ifca.es/thredds/dodsC/pti-clima/ncmls/OBSERVATIONS/CHELSA-W5E5v1.0/Canarias/day/CHELSA-W5E5v1.0_Canarias_day.ncml","../../Harmonization_dictionaries/CHELSA-W5E5v1.0.dic"
"CHELSA-W5E5v1.0_Iberia_day","observations","opendap","CHELSA-W5E5v1.0","","","day","https://hub.climate4r.ifca.es/thredds/dodsC/pti-clima/ncmls/OBSERVATIONS/CHELSA-W5E5v1.0/Iberia/day/CHELSA-W5E5v1.0_Iberia_day.ncml","../../Harmonization_dictionaries/CHELSA-W5E5v1.0.dic"
"PTI-grid-v0_Canarias_day","observations","opendap","PTI-grid-v0","","","day","https://hub.climate4r.ifca.es/thredds/dodsC/pti-clima/ncmls/OBSERVATIONS/PTI-grid-v0/Canarias/day/PTI-grid-v0_Canarias_day.ncml","../../Harmonization_dictionaries/PTI-grid-v0.dic"
"PTI-grid-v0_Iberia_day","observations","opendap","PTI-grid-v0","","","day","https://hub.climate4r.ifca.es/thredds/dodsC/pti-clima/ncmls/OBSERVATIONS/PTI-grid-v0/Iberia/day/PTI-grid-v0_Iberia_day.ncml","../../Harmonization_dictionaries/PTI-grid-v0.dic"
"PTI-grid-v1_Canarias_day","observations","opendap","PTI-grid-v1","","","day","https://hub.climate4r.ifca.es/thredds/dodsC/pti-clima/ncmls/OBSERVATIONS/PTI-grid-v1/Canarias/day/PTI-grid-v1_Canarias_day.ncml","../../Harmonization_dictionaries/PTI-grid-v1.dic"
"PTI-grid-v1_Iberia_day","observations","opendap","PTI-grid-v1","","","day","https://hub.climate4r.ifca.es/thredds/dodsC/pti-clima/ncmls/OBSERVATIONS/PTI-grid-v1/Iberia/day/PTI-grid-v1_Iberia_day.ncml","../../Harmonization_dictionaries/PTI-grid-v1.dic"
"CORDEXbc_output_EUR-11_CLMcom-ETH_ICHEC-EC-EARTH_historical_CLMcom-ETH-COSMO-crCLIM-v1-1_v1_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_CLMcom-ETH_ICHEC-EC-EARTH_historical_CLMcom-ETH-COSMO-crCLIM-v1-1_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_CLMcom-ETH_ICHEC-EC-EARTH_rcp85_CLMcom-ETH-COSMO-crCLIM-v1-1_v1_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_CLMcom-ETH_ICHEC-EC-EARTH_rcp85_CLMcom-ETH-COSMO-crCLIM-v1-1_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_CLMcom-ETH_NCC-NorESM1-M_historical_CLMcom-ETH-COSMO-crCLIM-v1-1_v1_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_CLMcom-ETH_NCC-NorESM1-M_historical_CLMcom-ETH-COSMO-crCLIM-v1-1_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_CLMcom-ETH_NCC-NorESM1-M_rcp85_CLMcom-ETH-COSMO-crCLIM-v1-1_v1_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_CLMcom-ETH_NCC-NorESM1-M_rcp85_CLMcom-ETH-COSMO-crCLIM-v1-1_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_CLMcom_CNRM-CERFACS-CNRM-CM5_historical_CLMcom-CCLM4-8-17_v1_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_CLMcom_CNRM-CERFACS-CNRM-CM5_historical_CLMcom-CCLM4-8-17_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_CLMcom_CNRM-CERFACS-CNRM-CM5_rcp45_CLMcom-CCLM4-8-17_v1_day","projections","opendap","CORDEX","ESGF","rcp45","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_CLMcom_CNRM-CERFACS-CNRM-CM5_rcp45_CLMcom-CCLM4-8-17_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_CLMcom_CNRM-CERFACS-CNRM-CM5_rcp85_CLMcom-CCLM4-8-17_v1_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_CLMcom_CNRM-CERFACS-CNRM-CM5_rcp85_CLMcom-CCLM4-8-17_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_CLMcom_ICHEC-EC-EARTH_historical_CLMcom-CCLM4-8-17_v1_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_CLMcom_ICHEC-EC-EARTH_historical_CLMcom-CCLM4-8-17_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_CLMcom_ICHEC-EC-EARTH_rcp45_CLMcom-CCLM4-8-17_v1_day","projections","opendap","CORDEX","ESGF","rcp45","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_CLMcom_ICHEC-EC-EARTH_rcp45_CLMcom-CCLM4-8-17_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_CLMcom_ICHEC-EC-EARTH_rcp85_CLMcom-CCLM4-8-17_v1_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_CLMcom_ICHEC-EC-EARTH_rcp85_CLMcom-CCLM4-8-17_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_CLMcom_MOHC-HadGEM2-ES_historical_CLMcom-CCLM4-8-17_v1_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_CLMcom_MOHC-HadGEM2-ES_historical_CLMcom-CCLM4-8-17_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_CLMcom_MOHC-HadGEM2-ES_rcp45_CLMcom-CCLM4-8-17_v1_day","projections","opendap","CORDEX","ESGF","rcp45","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_CLMcom_MOHC-HadGEM2-ES_rcp45_CLMcom-CCLM4-8-17_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_CLMcom_MOHC-HadGEM2-ES_rcp85_CLMcom-CCLM4-8-17_v1_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_CLMcom_MOHC-HadGEM2-ES_rcp85_CLMcom-CCLM4-8-17_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_CLMcom_MPI-M-MPI-ESM-LR_historical_CLMcom-CCLM4-8-17_v1_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_CLMcom_MPI-M-MPI-ESM-LR_historical_CLMcom-CCLM4-8-17_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_CLMcom_MPI-M-MPI-ESM-LR_rcp45_CLMcom-CCLM4-8-17_v1_day","projections","opendap","CORDEX","ESGF","rcp45","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_CLMcom_MPI-M-MPI-ESM-LR_rcp45_CLMcom-CCLM4-8-17_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_CLMcom_MPI-M-MPI-ESM-LR_rcp85_CLMcom-CCLM4-8-17_v1_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_CLMcom_MPI-M-MPI-ESM-LR_rcp85_CLMcom-CCLM4-8-17_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_CNRM_CNRM-CERFACS-CNRM-CM5_historical_CNRM-ALADIN63_v2_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_CNRM_CNRM-CERFACS-CNRM-CM5_historical_CNRM-ALADIN63_v2_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_CNRM_CNRM-CERFACS-CNRM-CM5_rcp45_CNRM-ALADIN63_v2_day","projections","opendap","CORDEX","ESGF","rcp45","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_CNRM_CNRM-CERFACS-CNRM-CM5_rcp45_CNRM-ALADIN63_v2_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_CNRM_CNRM-CERFACS-CNRM-CM5_rcp85_CNRM-ALADIN63_v2_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_CNRM_CNRM-CERFACS-CNRM-CM5_rcp85_CNRM-ALADIN63_v2_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_CNRM_MOHC-HadGEM2-ES_historical_CNRM-ALADIN63_v1_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_CNRM_MOHC-HadGEM2-ES_historical_CNRM-ALADIN63_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_CNRM_MOHC-HadGEM2-ES_rcp85_CNRM-ALADIN63_v1_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_CNRM_MOHC-HadGEM2-ES_rcp85_CNRM-ALADIN63_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_CNRM_MPI-M-MPI-ESM-LR_historical_CNRM-ALADIN63_v1_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_CNRM_MPI-M-MPI-ESM-LR_historical_CNRM-ALADIN63_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
